id,name,cost,attack,health,ability,evolved_ability,class,type,tribes
10461210,Awed and Inspired,0,0,0,Engage (2): Destroy this card. Select an allied follower on the field and transform it into an Awed and Inspired. Draw a card.,,Havencraft,Spell,
10041120,Axe-Wielding Dragonslayer,6,5,10,Ward,Ward,Dragoncraft,Follower,
10374110,"Axia, Heir to Destruction",3,2,4,"Ward
Can't be destroyed by abilities.
Super-Evolve: Deal X damage to the enemy leader. X is the number of other allied cards on the field. Destroy all other allied cards on the field.","Ward
Can't be destroyed by abilities.
Super-Evolve: Deal X damage to the enemy leader. X is the number of other allied cards on the field. Destroy all other allied cards on the field.",Portalcraft,Follower,
10344110,"Azurifrit, Heir to Disdain",9,5,7,"Fanfare: Do this 3 times: ""Deal 2 damage to all followers.""
Ward
During your turn, whenever this follower takes damage but isn't destroyed, deal 1 damage to the enemy leader.
Super-Evolve: Fully restore the defense of this follower. Do this 3 times: ""Deal 2 damage to all followers.""","Fanfare: Do this 3 times: ""Deal 2 damage to all followers.""
Ward
During your turn, whenever this follower takes damage but isn't destroyed, deal 1 damage to the enemy leader.
Super-Evolve: Fully restore the defense of this follower. Do this 3 times: ""Deal 2 damage to all followers.""",Dragoncraft,Follower,
10452130,"Baal, Elemental Resonance",3,2,2,"Fanfare: Select a Mode to activate.
1. Give this follower and another random allied follower on the field +1/+1.
2. Deal 3 damage to a random enemy follower.","Fanfare: Select a Mode to activate.
1. Give this follower and another random allied follower on the field +1/+1.
2. Deal 3 damage to a random enemy follower.",Abysscraft,Follower,
10112130,Baby Carbuncle,2,2,2,"Fanfare: Select another allied card on the field and return it to hand.
Super-Evolve: Recover 3 play points.","Fanfare: Select another allied card on the field and return it to hand.
Super-Evolve: Recover 3 play points.",Forestcraft,Follower,
10153140,"Balto, Dusk Bounty Hunter",3,3,1,"Fanfare: Gain Crest: Balto, Dusk Bounty Hunter.","Fanfare: Gain Crest: Balto, Dusk Bounty Hunter.",Abysscraft,Follower,
10222310,Band of Battle Princesses,2,0,0,"Deal 4 damage to a random enemy follower.
Enhance (4): Deal damage to 3 random enemy followers instead.",,Swordcraft,Spell,
90051120,Bat,1,1,1,Drain,Drain,Abysscraft,Follower,
10511120,Battledore Woodsmaiden,5,4,4,"Fanfare: Summon a Fairy.
Whenever an allied Pixie follower enters the field, deal 1 damage to the enemy leader.
Evolve: Replicate the effects of this card's Fanfare ability.","Fanfare: Summon a Fairy.
Whenever an allied Pixie follower enters the field, deal 1 damage to the enemy leader.
Evolve: Replicate the effects of this card's Fanfare ability.",Forestcraft,Follower,
10042120,Battleforged Dragon Keeper,5,5,5,Enhance (7): Summon a Vastwing Dragon.,Enhance (7): Summon a Vastwing Dragon.,Dragoncraft,Follower,
10113130,"Bayle, Luxglaive Warrior",8,4,4,"Activates in hand. Whenever an allied follower leaves the field, reduce the cost of this card by 1.
Fanfare: Select an enemy follower on the field and deal it 4 damage.","Activates in hand. Whenever an allied follower leaves the field, reduce the cost of this card by 1.
Fanfare: Select an enemy follower on the field and deal it 4 damage.",Forestcraft,Follower,
10311120,Bearer of the Fairy Blade,2,1,3,"Whenever an allied Pixie follower enters the field, give this follower +1/+0.","Whenever an allied Pixie follower enters the field, give this follower +1/+0.",Forestcraft,Follower,
10603110,Beast Lost to the Dark,6,3,3,"Fanfare: Give this follower 3 random abilities from the following.
1. Storm.
2. Bane.
3. Intimidate.
4. Drain.
5. Aura.
6. Barrier.","Fanfare: Give this follower 3 random abilities from the following.
1. Storm.
2. Bane.
3. Intimidate.
4. Drain.
5. Aura.
6. Barrier.",Neutral,Follower,
10474120,"Beelzebub, Supreme King",9,9,9,"Fanfare: Select 2 enemy followers on the field, remove all abilities from them, and deal them 9 damage. Give the enemy leader ""Takes 1 more damage.""","Fanfare: Select 2 enemy followers on the field, remove all abilities from them, and deal them 9 damage. Give the enemy leader ""Takes 1 more damage.""",Portalcraft,Follower,
10643310,Beheading Eld Blades,7,0,0,"When this card is discarded, if its cost is 7, add a Beheading Eld Blades to your hand and set its cost to 5. If this card's cost is 5, add a Beheading Eld Blades to your hand and set its cost to 3.
Deal X damage to all enemy followers. X is this card's cost.",,Dragoncraft,Spell,Encroacher
10502120,Behemoth General,4,4,5,"Evolve: If the sum of the 3 highest base costs in your hand is higher than that of your opponent's, destroy all enemy followers.","Evolve: If the sum of the 3 highest base costs in your hand is higher than that of your opponent's, destroy all enemy followers.",Neutral,Follower,
10454120,"Belial, Archangel of Cunning",7,7,6,"Fanfare: Deal 10 damage to all other followers. Super Skybound Art - Gain Crest: Belial, Archangel of Cunning.
Super-Evolve: Advance the count of your Crest: Belial, Archangel of Cunning by 1.","Fanfare: Deal 10 damage to all other followers. Super Skybound Art - Gain Crest: Belial, Archangel of Cunning.
Super-Evolve: Advance the count of your Crest: Belial, Archangel of Cunning by 1.",Abysscraft,Follower,
10232110,"Bergent, Rejected Artes",5,4,4,"Fanfare: Summon 2 copies of Onion Patch.
Evolve: Gain Crest: Bergent, Rejected Artes.","Fanfare: Summon 2 copies of Onion Patch.
Evolve: Gain Crest: Bergent, Rejected Artes.",Runecraft,Follower,
10152120,"Beryl, Nightmare Incarnate",2,3,3,"Fanfare: Deal 3 damage to your leader.
Evolve: Restore 5 defense to your leader.","Fanfare: Deal 3 damage to your leader.
Evolve: Restore 5 defense to your leader.",Abysscraft,Follower,
10311310,Bestial Swipe,2,0,0,Select an enemy follower on the field and deal it 4 damage. Combo (3) - Draw a card.,,Forestcraft,Spell,
10633310,Bewitching Eld Crystals,3,0,0,"Select a Mode to activate.
1. Summon a Crystalspawn and give it +1/+0 and Storm.
2. Summon 2 copies of Crystalspawn and give them +1/+0.
Enhance (5): Activate all of them instead.",,Runecraft,Spell,Encroacher
10654120,"Bibatii, Eld Sight",3,3,3,"Fanfare: Necromancy (4) - Evolve this follower.
When this follower evolves, add a Depths of the Eld Sight to your hand.","Fanfare: Necromancy (4) - Evolve this follower.
When this follower evolves, add a Depths of the Eld Sight to your hand.",Abysscraft,Follower,Encroacher
90074220,"Black Psalm, New Revelation",3,0,0,"Countdown (1)
Last Words: Deal 1 damage to the enemy leader. Summon a White Psalm, New Revelation.",,Portalcraft,Amulet,
10541310,Blade of the Crestpetal,3,0,0,Draw a follower. Deal X damage to a random enemy follower. X is the cost of the card you drew.,,Dragoncraft,Spell,
10032120,Blaze Destroyer,10,8,6,On Spellboost: Reduce the cost of this card by 1.,On Spellboost: Reduce the cost of this card by 1.,Runecraft,Follower,
10361310,Blinding Faith,4,0,0,"Deal 3 damage to all enemy followers.
Enhance (8): Draw 3 cards. Restore 3 defense to your leader.",,Havencraft,Spell,
10561120,Bouquet Believer,1,1,1,"Enhance (4): Draw a card. Give this follower Bane.
During your turn, whenever you draw a card, give this follower Rush.","Enhance (4): Draw a card. Give this follower Bane.
During your turn, whenever you draw a card, give this follower Rush.",Havencraft,Follower,
90014310,Bramble Burst,1,0,0,Select an enemy follower on the field or the enemy leader and deal it 3 damage.,,Forestcraft,Spell,
10671120,Brilliant Inventor,6,1,1,Fanfare: Summon an Ominous Artifact α and give it Bane and Ward.,Fanfare: Summon an Ominous Artifact α and give it Bane and Ward.,Portalcraft,Follower,
10012310,Bug Alert,1,0,0,Select an allied card on the field and return it to hand. Deal 2 damage to a random enemy follower.,,Forestcraft,Spell,
10071310,Bullet from Beyond,4,0,0,Select an enemy follower on the field and destroy it. Add a Gear of Ambition and Gear of Remembrance to your hand.,,Portalcraft,Spell,
10144110,"Burnite, Anathema of Flame",7,7,7,"Fanfare: Select a card in your hand and discard it. Deal X damage to all enemy followers. X is the cost of the selected card.
Super-Evolve: Give your opponent Crest: Burnite, Anathema of Flame.","Fanfare: Select a card in your hand and discard it. Deal X damage to all enemy followers. X is the cost of the selected card.
Super-Evolve: Give your opponent Crest: Burnite, Anathema of Flame.",Dragoncraft,Follower,Anathema
10434120,"Cagliostro, Genius Alchemist",4,5,3,"Fanfare: Gain 2 earth sigils. Add an Ars Magna to your hand. Skybound Art - Evolve this follower. Super Skybound Art - Gain Crest: Cagliostro, Genius Alchemist.","Fanfare: Gain 2 earth sigils. Add an Ars Magna to your hand. Skybound Art - Evolve this follower. Super Skybound Art - Gain Crest: Cagliostro, Genius Alchemist.",Runecraft,Follower,
10141310,Calamity Breath,6,0,0,Deal 5 damage to all followers.,,Dragoncraft,Spell,
10634120,"Calge-Danthla, Eld Crystals",10,5,5,"Activates in hand. Whenever an allied Crystalspawn enters the field, reduce the cost of this card by 1.
Fanfare: Summon 2 copies of Crystalspawn and give them Storm.
Evolve: Add a Depths of the Eld Crystals to your hand.","Activates in hand. Whenever an allied Crystalspawn enters the field, reduce the cost of this card by 1.
Fanfare: Summon 2 copies of Crystalspawn and give them Storm.
Evolve: Add a Depths of the Eld Crystals to your hand.",Runecraft,Follower,Encroacher
10241310,Call of the Megalorca,2,0,0,"Summon a Majestic Megalorca. If you're in Overflow, draw a Call of the Megalorca.",,Dragoncraft,Spell,
10674110,"Camiscilla, Unfeeling Heart",7,6,6,"Fanfare: Summon a Shoddy Plaything and Substandard Puppet.
Whenever another allied follower with a base cost of 5 or more enters the field, evolve it.
Super-Evolve: Deal X damage to the enemy leader. X is the number of allied followers on the field with a base cost of 5 or more.","Fanfare: Summon a Shoddy Plaything and Substandard Puppet.
Whenever another allied follower with a base cost of 5 or more enters the field, evolve it.
Super-Evolve: Deal X damage to the enemy leader. X is the number of allied followers on the field with a base cost of 5 or more.",Portalcraft,Follower,
10111120,Capricious Sprite,3,1,1,"Fanfare: Summon a Fairy. Add a Fairy to your hand.
Evolve: Replicate the effects of this card's Fanfare ability.","Fanfare: Summon a Fairy. Add a Fairy to your hand.
Evolve: Replicate the effects of this card's Fanfare ability.",Forestcraft,Follower,
10002120,Caravan Mammoth,7,10,10,,,Neutral,Follower,
10273110,"Carnelia, Ember of Darkness",2,2,2,"Fanfare: Add a Gear of Remembrance to your hand.
Evolve: Select an Artifact follower in your hand and give it Ward and ""Can't be destroyed by abilities.""","Fanfare: Add a Gear of Remembrance to your hand.
Evolve: Select an Artifact follower in your hand and give it Ward and ""Can't be destroyed by abilities.""",Portalcraft,Follower,
10473110,"Cassius, Sky-Yearning Arrival",5,3,2,"Fanfare: Select an Artifact follower in your hand and deal X damage to all enemy followers. X is the selected follower's attack.
Last Words: Add a Fortifier Artifact to your hand.","Fanfare: Select an Artifact follower in your hand and deal X damage to all enemy followers. X is the selected follower's attack.
Last Words: Add a Fortifier Artifact to your hand.",Portalcraft,Follower,
10352210,Castle of Entwining,2,0,0,"Fanfare: Select a Mode to activate.
1. Draw a card.
2. Give a random allied follower on the field +1/+1.
Engage (1): Destroy this card. Replicate the effects of this card's Fanfare ability.",,Abysscraft,Spell,
90034110,Celestial Shikigami,4,4,5,"Ward
Last Words: Spellboost your hand 3 times.","Ward
Last Words: Spellboost your hand 3 times.",Runecraft,Follower,Shikigami
10021130,Centaur Centurion,8,7,5,Storm,Storm,Swordcraft,Follower,
10154110,"Cerberus, Hellfire Unleashed",8,6,6,"Fanfare: Summon a Mimi, Right Paw Hellhound and Coco, Left Paw Hellhound. Necromancy (6) - Give all other allied followers on the field +2/+0.
Super-Evolve: Do this 2 times: ""Reanimate (1).""","Fanfare: Summon a Mimi, Right Paw Hellhound and Coco, Left Paw Hellhound. Necromancy (6) - Give all other allied followers on the field +2/+0.
Super-Evolve: Do this 2 times: ""Reanimate (1).""",Abysscraft,Follower,
10153110,"Ceres, Blue Rose Maiden",4,1,4,"Bane
At the end of your turn, restore 2 defense to your leader. If this follower is super-evolved, restore 4 instead and give this follower Barrier.","Bane
At the end of your turn, restore 2 defense to your leader. If this follower is super-evolved, restore 4 instead and give this follower Barrier.",Abysscraft,Follower,
10051310,Chaos Cyclone,2,0,0,"Select a Mode to activate.
1. Draw a follower.
2. Reanimate (2).",,Abysscraft,Spell,
10473310,Chaos Legion,6,0,0,Deal 3 damage to all enemies. Super Skybound Art - Deal 6 damage instead.,,Portalcraft,Spell,
10254120,"Charon, Stygian Oarswoman",5,4,4,"Fanfare: Reanimate (2) and Reanimate (1).
Whenever an allied Departed follower enters the field, give it Ward.
Super-Evolve: Gain Crest: Charon, Stygian Oarswoman.","Fanfare: Reanimate (2) and Reanimate (1).
Whenever an allied Departed follower enters the field, give it Ward.
Super-Evolve: Gain Crest: Charon, Stygian Oarswoman.",Abysscraft,Follower,
10202110,"Cheretta, Angelic Maid",2,2,2,"Fanfare: If you've unlocked super-evolution, give this follower +0/+3.
Ward","Fanfare: If you've unlocked super-evolution, give this follower +0/+3.
Ward",Neutral,Follower,
10412110,"Chloe, What a Gal",2,2,2,Enhance (8): Select a follower in your hand and summon it. Return this card to hand.,Enhance (8): Select a follower in your hand and summon it. Return this card to hand.,Forestcraft,Follower,
90031110,Clay Golem,1,2,2,,,Runecraft,Follower,Golem
10261110,Cleric of Crushing,3,2,4,"Ward
Evolve: Select a super-evolved enemy follower on the field and destroy it.","Ward
Evolve: Select a super-evolved enemy follower on the field and destroy it.",Havencraft,Follower,
90054120,"Coco, Left Paw Hellhound",1,1,2,"Rush
Last Words: Restore 2 defense to your leader.","Rush
Last Words: Restore 2 defense to your leader.",Abysscraft,Follower,
10262110,"Colette, Barrage Exorcist",3,2,2,"Fanfare: Do this 1 time: ""Deal 2 damage to a random enemy follower."" If there are at least 2 allied amulets on the field, do it 2 times instead.","Fanfare: Do this 1 time: ""Deal 2 damage to a random enemy follower."" If there are at least 2 allied amulets on the field, do it 2 times instead.",Havencraft,Follower,
10411310,Comet Drive,2,0,0,"Select an enemy follower on the field and deal it 4 damage. If there's an evolved allied follower on the field, draw a card.",,Forestcraft,Spell,
10321120,Comrade of the Swordmaster,6,5,5,Last Words: Summon a Comrade of the Swordmaster and remove Last Words from it.,Last Words: Summon a Comrade of the Swordmaster and remove Last Words from it.,Swordcraft,Follower,
10373110,Congregant of Destruction,6,3,3,Fanfare: Destroy X random enemy followers. X is the number of other allied cards on the field. Destroy all other allied cards on the field.,Fanfare: Destroy X random enemy followers. X is the number of other allied cards on the field. Destroy all other allied cards on the field.,Portalcraft,Follower,
10343110,Congregant of Disdain,6,5,7,"Fanfare: Deal 3 damage to all followers.
At the end of your turn, if this follower's defense is 3 or less, give all Dragoncraft followers in your hand +1/+1.","Fanfare: Deal 3 damage to all followers.
At the end of your turn, if this follower's defense is 3 or less, give all Dragoncraft followers in your hand +1/+1.",Dragoncraft,Follower,
10353110,Congregant of Entwining,5,4,4,"Fanfare: Select a Mode to activate.
1. Summon a Congregant of Entwining and give it and this follower Rush.
2. Summon a Congregant of Entwining and give it and this follower Ward.
3. Give all allied copies of Congregant of Entwining on the field +2/+2.
Super-Evolve: Replicate the effects of this card's Fanfare ability.","Fanfare: Select a Mode to activate.
1. Summon a Congregant of Entwining and give it and this follower Rush.
2. Summon a Congregant of Entwining and give it and this follower Ward.
3. Give all allied copies of Congregant of Entwining on the field +2/+2.
Super-Evolve: Replicate the effects of this card's Fanfare ability.",Abysscraft,Follower,
10363110,Congregant of Repose,5,2,4,"Fanfare: Select an enemy follower on the field and destroy it.
Evolve: Gain Crest: Congregant of Repose.","Fanfare: Select an enemy follower on the field and destroy it.
Evolve: Gain Crest: Congregant of Repose.",Havencraft,Follower,
10333110,Congregant of Truth,3,3,1,"Fanfare: If this card's cost isn't 3, summon 2 exact copies of it.
Rush
Super-Evolve: Summon an exact copy of this card.","Fanfare: If this card's cost isn't 3, summon 2 exact copies of it.
Rush
Super-Evolve: Summon an exact copy of this card.",Runecraft,Follower,
10313110,Congregant of Unkilling,9,4,6,"When this card enters the field, summon an exact copy of it and give the exact copy -0/-1.
Rush
Ward","When this card enters the field, summon an exact copy of it and give the exact copy -0/-1.
Rush
Ward",Forestcraft,Follower,
